Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Kopal Mochan B.O,G9896,Bilaspur (Yamunanagar) S.O,,,,2.0,,3.0,,1.0,,,,
Korwakhurd B.O,J9670,Shahzadpur S.O.,,,1.0,,,5.0,,3.0,,,,
Kot B.O,I5069,Barwala S.O (Panchkula),,,1.0,2.0,,,,2.0,,,,
Kot Kalsia B.O,J7329,Chhachrauli S.O,,,2.0,18.0,,3.0,,3.0,,,,
Kuldeep Nagar S.O,13300401,,,,2.0,4.0,,5.0,,15.0,,,,
Kurali B.O,F5104,Naraingarh S.O,,,2.0,2.0,,7.0,,8.0,,,,
Laha B.O,F5105,Naraingarh S.O,,,2.0,11.0,,2.0,,1.0,,,,
Laharpur B.O,F7642,Sadhaura S.O,,,1.0,1.0,1.0,6.0,,4.0,,,,
Lakhnaura B.O,B3220,Naraingarh S.O,,,8.0,1.0,,9.0,,4.0,,,,
Lalheri Kalan B.O,J7330,Chhachrauli S.O,,,,,,,,15.0,,,,
Lalpur B.O,C1670,Naraingarh S.O,,,3.0,6.0,,6.0,,5.0,,,,
Landa B.O,J7220,Kesri S.O,,,,1.0,,,,,,,,
Ledi B.O,J7331,Chhachrauli S.O,,,4.0,2.0,,2.0,,1.0,,,,
Lohgarh B.O,AM125,Baldev Nagar S.O,,,,,,,,1.0,,,,
M.M.E.Complex Mulana S.O,13320701,,2.0,,1.0,3.0,,6.0,,2.0,,,,
Machrauli B.O,G9897,Bilaspur (Yamunanagar) S.O,,,2.0,2.0,,2.0,,,,,,
Mahesh Nagar S.O,13300107,,16.0,1.0,,24.0,,13.0,8.0,100.0,,4.0,22.0,
Majri S.O,13300801,,,1.0,0.0,0.0,,6.0,,5.0,,,,
Malikpur Khadar B.O,L4337,Bhudkalan S.O,,,1.0,,,3.0,,2.0,,,,
Mallah B.O,I3641,Pinjore S.O,,,1.0,,,,,,,,,
Manak  Tabra B.O,L3943,Raipur Rani S.O,,,1.0,1.0,,1.0,,,,,,
Mandhana B.O,L3886,Morni S.O,,,1.0,3.0,,,,,,,,
Mandhar B.O,I4688,Radaur S.O,,,2.0,,,1.0,,,,,,
Mandhar B.O,B4562,Jagadhri S.O,,,1.0,8.0,,,,1.0,,,,
Manglore B.O,G9899,Bilaspur (Yamunanagar) S.O,,,1.0,2.0,,3.0,,4.0,,,,
Manka Manki B.O,L4930,Dhin S.O,,,1.0,,,,,1.0,,,,
Mansa  Devi Sec 5 S.O,13411401,,8.0,1.0,1.0,1.0,,5.0,2.0,4.0,,1.0,2.0,
Manu Majra B.O,I1898,Adhoya S.O,,,1.0,9.0,,1.0,,1.0,,,,
Mardon Sahib B.O,B6563,Majri S.O,,,,,,,,1.0,,,,
Marwa Kalan B.O,G9900,Bilaspur (Yamunanagar) S.O,,,3.0,,,2.0,,5.0,,,,
Marwa Khurd B.O,G9901,Bilaspur (Yamunanagar) S.O,,,,9.0,,7.0,,6.0,,,,
MATHERI SEIKHAN,M6337,Durga Nagar S.O,,,3.0,1.0,,9.0,,2.0,,,,
Mauli B.O,I5070,Barwala S.O (Panchkula),,,4.0,,,1.0,,,,,,
Mehar Majra B.O,I3764,Buriya S.O,,,3.0,15.0,,,,1.0,,,,
Mehlanwali B.O,C3070,Jagadhri S.O,,,2.0,1.0,,1.0,,2.0,,,,
Mehmoodpur B.O,D2499,Sadhaura S.O,,,2.0,,,2.0,,3.0,,,,
Mehmoodpur B.O,L4366,Saha S.O,,,3.0,,,4.0,,10.0,,,,
Milakpur Banger B.O,G9898,Bilaspur (Yamunanagar) S.O,,,3.0,,,5.0,,1.0,,,,
Model Town Ambala City S.O,13400306,,9.0,3.0,4.0,27.0,,13.0,8.0,44.0,,2.0,15.0,
Model Town S.O (Yamuna Nagar),13500103,,10.0,,,51.0,,11.0,4.0,52.0,,15.0,29.0,
Mohra B.O,C5002,Kuldeep Nagar S.O,,,2.0,1.0,,3.0,,2.0,,,,
Morni S.O,13420501,,,,2.0,20.0,,12.0,1.0,20.0,,,3.0,
Mud Hut Colony S.O,13500104,,4.0,1.0,8.0,15.0,,37.0,5.0,45.0,,11.0,13.0,
Mullana S.O,13320302,,,,4.0,14.0,,28.0,,149.0,,10.0,20.0,
Mussimbal B.O,B4563,Jagadhri S.O,,,1.0,,,2.0,,4.0,,,,
